Work Item Type,Title,State,Tags
Bug,Work Item 1,Active,Frontend
Feature,Work Item 2,Resolved,API
Task,Work Item 3,Closed,Database
Bug,Work Item 4,New,Testing
Feature,Work Item 5,Active,Backend
User Story,Work Item 6,Resolved,Frontend
User Story,Work Item 7,Closed,API
User Story,Work Item 8,New,Database
User Story,Work Item 9,Active,Testing
User Story,Work Item 10,Resolved,Backend
User Story,Work Item 11,Closed,Frontend
User Story,Work Item 12,New,API
User Story,Work Item 13,Active,Database
User Story,Work Item 14,Resolved,Testing
User Story,Work Item 15,Closed,Backend
User Story,Work Item 16,New,Frontend
User Story,Work Item 17,Active,API
User Story,Work Item 18,Resolved,Database
User Story,Work Item 19,Closed,Testing
User Story,Work Item 20,New,Backend
User Story,Work Item 21,Active,Frontend
User Story,Work Item 22,Resolved,API
User Story,Work Item 23,Closed,Database
Task,Work Item 24,New,Testing
Bug,Work Item 25,Active,Backend
Feature,Work Item 26,Resolved,Frontend
Task,Work Item 27,Closed,API
Bug,Work Item 28,New,Database
Feature,Work Item 29,Active,Testing
Task,Work Item 30,Resolved,Backend
Bug,Work Item 31,Closed,Frontend
Feature,Work Item 32,New,API
Task,Work Item 33,Active,Database
Bug,Work Item 34,Resolved,Testing
Feature,Work Item 35,Closed,Backend
Task,Work Item 36,New,Frontend
Bug,Work Item 37,Active,API
Feature,Work Item 38,Resolved,Database
User Story,Work Item 39,Closed,Testing
User Story,Work Item 40,New,Backend
User Story,Work Item 41,Active,Frontend
User Story,Work Item 42,Resolved,API
User Story,Work Item 43,Closed,Database
User Story,Work Item 44,New,Testing
User Story,Work Item 45,Active,Backend
User Story,Work Item 46,Resolved,Frontend
User Story,Work Item 47,Closed,API
User Story,Work Item 48,New,Database
User Story,Work Item 49,Active,Testing
User Story,Work Item 50,Resolved,Backend
User Story,Work Item 51,Closed,Frontend
User Story,Work Item 52,New,API
User Story,Work Item 53,Active,Database
User Story,Work Item 54,Resolved,Testing
User Story,Work Item 55,Closed,Backend
User Story,Work Item 56,New,Frontend
User Story,Work Item 57,Active,API
User Story,Work Item 58,Resolved,Database
User Story,Work Item 59,Closed,Testing
User Story,Work Item 60,New,Backend
User Story,Work Item 61,Active,Frontend
User Story,Work Item 62,Resolved,API
User Story,Work Item 63,Closed,Database
User Story,Work Item 64,New,Testing
User Story,Work Item 65,Active,Backend
User Story,Work Item 66,Resolved,Frontend
User Story,Work Item 67,Closed,API
User Story,Work Item 68,New,Database
User Story,Work Item 69,Active,Testing
User Story,Work Item 70,Resolved,Backend
User Story,Work Item 71,Closed,Frontend
User Story,Work Item 72,New,API
User Story,Work Item 73,Active,Database
User Story,Work Item 74,Resolved,Testing
User Story,Work Item 75,Closed,Backend
User Story,Work Item 76,New,Frontend
User Story,Work Item 77,Active,API
User Story,Work Item 78,Resolved,Database
User Story,Work Item 79,Closed,Testing
User Story,Work Item 80,New,Backend
User Story,Work Item 81,Active,Frontend
User Story,Work Item 82,Resolved,API
User Story,Work Item 83,Closed,Database
User Story,Work Item 84,New,Testing
User Story,Work Item 85,Active,Backend
User Story,Work Item 86,Resolved,Frontend
User Story,Work Item 87,Closed,API
User Story,Work Item 88,New,Database
User Story,Work Item 89,Active,Testing
User Story,Work Item 90,Resolved,Backend
User Story,Work Item 91,Closed,Frontend
User Story,Work Item 92,New,API
User Story,Work Item 93,Active,Database
User Story,Work Item 94,Resolved,Testing
User Story,Work Item 95,Closed,Backend
User Story,Work Item 96,New,Frontend
User Story,Work Item 97,Active,API
User Story,Work Item 98,Resolved,Database
User Story,Work Item 99,Closed,Testing
User Story,Work Item 100,New,Backend
User Story,Work Item 101,Active,Frontend
User Story,Work Item 102,Resolved,API
User Story,Work Item 103,Closed,Database
User Story,Work Item 104,New,Testing
User Story,Work Item 105,Active,Backend
User Story,Work Item 106,Resolved,Frontend
User Story,Work Item 107,Closed,API
User Story,Work Item 108,New,Database
User Story,Work Item 109,Active,Testing
User Story,Work Item 110,Resolved,Backend
User Story,Work Item 111,Closed,Frontend
User Story,Work Item 112,New,API
User Story,Work Item 113,Active,Database
User Story,Work Item 114,Resolved,Testing
User Story,Work Item 115,Closed,Backend
User Story,Work Item 116,New,Frontend
User Story,Work Item 117,Active,API
User Story,Work Item 118,Resolved,Database
User Story,Work Item 119,Closed,Testing
User Story,Work Item 120,New,Backend
User Story,Work Item 121,Active,Frontend
User Story,Work Item 122,Resolved,API
User Story,Work Item 123,Closed,Database
User Story,Work Item 124,New,Testing
User Story,Work Item 125,Active,Backend
User Story,Work Item 126,Resolved,Frontend
User Story,Work Item 127,Closed,API
User Story,Work Item 128,New,Database
User Story,Work Item 129,Active,Testing
User Story,Work Item 130,Resolved,Backend
User Story,Work Item 131,Closed,Frontend
User Story,Work Item 132,New,API
User Story,Work Item 133,Active,Database
User Story,Work Item 134,Resolved,Testing
User Story,Work Item 135,Closed,Backend
User Story,Work Item 136,New,Frontend
User Story,Work Item 137,Active,API
User Story,Work Item 138,Resolved,Database
User Story,Work Item 139,Closed,Testing
User Story,Work Item 140,New,Backend
User Story,Work Item 141,Active,Frontend
User Story,Work Item 142,Resolved,API
User Story,Work Item 143,Closed,Database
User Story,Work Item 144,New,Testing
User Story,Work Item 145,Active,Backend
User Story,Work Item 146,Resolved,Frontend
Task,Work Item 147,Closed,API
Bug,Work Item 148,New,Database
Feature,Work Item 149,Active,Testing
Task,Work Item 150,Resolved,Backend
